article_name,content,neighborhood,is_affordable
Developer revises apartment proposal for Chicago Joe's site in North Center,"Landrosh Development is back with a new, denser proposal for the former site of Chicago Joe's restaurant just six weeks after Ald. Matt Martin (47th) denied an earlier plan to construct 8 condos at the North Center site. ""I think what we heard loud and clear [about the previous design] was that we lacked density,"" said developer Patrick Landrosh at a virtual community meeting on Thursday evening. ""We also lacked a significant amount of affordable housing, and you'll see that this proposal is very different."" Dubbed the Irving Oakley Apartments, the updated project at 2250-56 W. Irving Park Road rises five stories and includes five studios, 18 one-bedrooms, and 17 two-bedroom rental units. Four of the 40 apartments will be set aside as below-market-rate housing for residents earning 60 percent of the Area Median Income (AMI). On the ground floor, an additional four affordable units will double as live-work suites with dedicated commercial spaces for renters earning 100 percent AMI. ""We wanted to create an entrepreneurial affordable housing component that allows folks to run a business and have a commercial presence on a main arterial street that would otherwise not be financially feasible,"" explained Landrosh.  Designed by Sullivan, Goulette & Wilson Architects, the revised building features outdoor balconies and is clad in brick and metal panels. The renderings presented at Thursday's meeting were rough massing models that illustrate the size and shape of the proposed development but lack exterior detailing.  As a transit-oriented development, the building will provide garage parking for 16 to 18 vehicles accessed off the alleyway plus parking for 40 bicycles. The development team will need to rezone part of the property from B1-1 to B2-3 and go before the Zoning Board of Appeals for a variance to reduce side yard setback requirements. The 47th Ward Zoning Advisory Council will review the plans for the Irving Oakley Apartments and provide an eventual recommendation to Ald. Martin. The alderman's office will also collect feedback from the community before taking an official position on the North Center project.  ",North Center,1
ZBA approves residential conversion at 153 W. Ohio,"The Zoning Board of Appeals has approved a special use application for the planned conversion of a five-story brick commercial building at 153 W. Ohio into residential units. Planned by Chicago developer Senco Properties, the existing building is located midblock between N. LaSalle St and N. Wells St.  With FitzGerald in charge of the architecture, the building will be infilled with 35 residential units. The newly renovated building will contain a mix of 5 studios, 11 one-beds, 6 one-bed pluses, 11 two-beds, and 2 three-beds. With zero parking in the building, residents will have access to 38 bike parking spaces in the basement.  While extensive interior work will be done, the exterior will see minimal changes to the exterior entryway and rooftop, with the building height remaining unchanged. The top floor units will be the only units to have balconies, while all residents will have access to a fitness center in the basement.  The ground floor will have the residential lobby and mailroom as well as two studios, a one-bed plus and a three-bed unit.  The Zoning Board of Appeals has approved a special use application to allow for residential use on the ground floor of the development. With approval secured, the development can move forward with permitting and construction. ",River North,0
Zoning application submitted for residential addition at 167 N. Racine,"A zoning application has been filed for a proposed mixed-use development at 167 N. Racine. Planned by Marduk Management, the project site is located midblock between W. Lake St and W. Randolph St. The property is currently occupied by two four-story masonry buildings that were combined at some point to connect as one building.  Designed by SPACE Architects + Planners, the development will reorganize the office space on the existing floors and add two floors of residential units above the northern building. On the ground floor, a new accessible lobby will be added to connect with new stairs and an elevator. Office space will occupy the first through fourth floors, with a shared rooftop deck on the southern half of the fifth floor. Rising 78 feet, the two-story addition will be clad in a black aluminum cladding. The eight new apartments will be split into four one-beds, two two-beds, and two three-beds. With the same layout on both floors, the three-beds will face N. Racine St, the two-beds will face east, and the one-beds will face north. All units will have private balconies. Due to the existing buildings occupying the entire site, no on-site parking will be provided. Eight bike parking spaces will be provided. The developer is seeking to rezone the site from C1-2 to DX-5. According to the development team, the best-case scenario for the project’s timeline would be to gain approval by the end of the year, receive permits in March 2024, and break ground late Spring 2024. ",Fulton Market,0
Twelve luxury apartments headed to vacant lot in Oakland,"Developer Jennings Realty is close to breaking ground on a four-level, 12-unit luxury apartment project at 4012 S. Ellis Avenue, the company revealed at a virtual meeting hosted by Ald. Sophia King (4th) and the North Kenwood-Oakland Advisory Council (NKOAC).   Designed by Alexander Polichuk Architects, the upcoming project replaces a vacant lot in the Oakland community within Chicago's Bronzeville neighborhood. The masonry and limestone structure will contain six one-bedrooms renting for around $1,500 per month and six two-bedroom units starting at $2,000. The largest apartments will be ""duplex-downs"" occupying the first and lower levels.  The plan includes residential balconies on the front and rear of the new building plus a large rooftop deck. Every apartment will have 9-foot ceilings and finishes ""consistent with what is being developed as single-family homes and condominiums,"" said Ivan Mariduena of Jennings Realty. The development team intends to hold the South Side property long-term, according to Mariduena.  The development also calls for a detached, single-story rear garage structure with parking for 12 cars. Some neighbors attending the virtual NKOAC meeting, however, questioned if one space per apartment was adequate off-street parking since half of the proposed residences will have two bedrooms each. The project slated for 4012 S. Ellis is not seeking a zoning change or financial assistance from the city and therefore is not required to provide any below-market-rate units. The developers said they are close to finalizing their architectural drawings and hope to apply for permits and break ground soon. ",Oakland,0
Committee on Design reviews The Ave,"The Committee on Design has reviewed The Ave. Chosen as the winner back at the end of 2021, The Ave will occupy the RFP site along W. Chicago Ave between N. Central Park Ave and N. Monticello Ave, where it will replace the current Neighborhood Housing Services office and a one-story commercial building currently owned by the city.  Planned by KMW Communities, POAH and CEC, the four-story project will include 49 affordable apartments, 2,900 square feet of space for Neighborhood Housing Services, an innovation center measuring 2,900 square feet, and 1,800 square feet of available retail space. The building’s unit mix will consist of 19 one-beds, 27 two-beds, and 3 three-beds. Parking for 32 cars will be included on the ground floor. With Gensler and Nia Architects working on the project, the design began with the intent to avoid a simple bar building. The current scheme looks to create a longer building with multiple components. The massing holds the corners at each intersection, carves the middle of the street frontage, and draws the eye into the center plaza space.  The portion along N. Central Park Ave is the tallest portion, creating a stronger presence on one corner. The longer portion of the building is shorter and stretches towards N. Monticello Ave. Dubbed The Stoop, the public space at the center will be the feature space of the project. With Site Design Group on the project, the plaza will be designed as a multi-use space that will be overlooked by a large screen wall that will house local artwork. Since being selected as the winner of the RFP, the design has changed due to program changes and affordability measures. The top floor of the taller volume was removed, and the NHS office space was moved from two floors of space in the taller volume over to the ground floor of the shorter volume. New residential units were added to the second floor of the taller volume. Rising 49 feet, removing the fifth floor will allow for a less expensive construction method that will make the project more affordable. The building will be clad in a gridded brick facade with wood veneer accent panels and aluminum windows. At the ground floor, angled walls will also be clad in brick. Second floor residential units will have balconies that overlook the street and plaza. The discussion opened with Lesley Roth who liked the geometry of the building but commented that the angled walls needed refinement. Roth followed up with a comment that the second-floor facade still looks like office fenestration and needs to be coordinated with the new residential program behind it.  Sara Beardsley chimed in next to comment that the treatment of the massing was subtle but interesting and thought the feature wall was really nice. Beardsley said that the fortress-like walls at the ground floor could use more refinement. Brian Lee spoke next, asking if the design team considered having the parking garage access be from the alley. The development team responded that they did look at it but opted for a curb cut on N. Central Park Ave due to some concerns about overloading the alley which currently serves the residential neighborhood of single-family homes and two-flats. Lee felt the building was a good example of a well-planned mixed-use development and asked if they considered building taller to get more units. The development team said that 44 units was the original target (the building will now hold 49), and when the program was refined, they were able to fit everything in four floors and use a more affordable construction type.  Renauld Mitchell echoed the sentiments of the others and felt the project was well thought out. Mitchell asked whether the second-floor balconies were a remnant of the earlier scheme or if the intent was to preserve the look now that it is residential. The design team responded that they liked the reveal between the ground floor and upper floors, but it was a fair comment that it needs to look less commercial. With the Committee on Design review complete, the project will continue through the DPD review process. The project is reportedly proceeding under the existing zoning designation but will need city approval for acquiring the city-owned land and if the project ends up requesting city funding. A timeline for construction is currently unknown. ",Humboldt Park,1
919 W. Fulton scores foundation permit,"After securing $233 million in construction financing just last week, developers Fulton Street Cos. and JDL Development are wasting no time getting shovels in the ground for Chicago’s newest office development at 919 W. Fulton. Planned for a rectangular site along N. Sangamon St spanning from W. Fulton St to W. Lake St, the project scope also includes an existing building at 910 W. Lake that will be reworked. As a rare accomplishment amidst waning demand for office space, the 400,000 square foot building is set to become home to the headquarters of Harrison Street Real Estate Capital, who will occupy 112,000 square feet of space in the 11-story building. On the ground floor, Gibsons Restaurant Group will occupy 15,500 square feet of the planned retail space. 65 car parking spaces will be included in an underground parking level. Designed by Morris Adjmi Architects and FitzGerald, the 11-story building features a facade that was designed to fit into the historic context and exhibits a series of notches and setbacks as it rises to reduce its visual impact on the historic Fulton-Randolph Market District that it will sit within. Originally planned to connect to the residential building at 910 W. Lake and convert it into more office space, the revised scope of the project will leave the existing building as apartments due to the stronger demand for residential.  With this foundation permit issued, general contractor Skender Construction can begin below-grade construction, including excavation work and mechanicals underground, and work on the partial superstructure up through level five. Further permits will allow the construction to continue through completion, which is targeted for 2025. ",Fulton Market,0
City Council approves 1649 N. Halsted,"The Chicago City Council has approved the mixed-use development planned at 1649 N. Halsted. Led by Draper and Kramer, the project will replace the shuttered Royal George Theater and adjacent four-story structure to the south. The former theater space is now considered obsolete as it has been marketed to other theater companies including Steppenwolf and ultimately the size, capacity, and configuration in a post-COVID era make it undesirable to continue using it as a theater. With SGW Architecture and Design in charge of the architecture, the building will stand eight floors high with a ninth partial floor that will hold amenity space and connect to an outdoor roof deck. Providing 131 rental units, the project’s unit mix will consist of 12 studios, 91 one-beds, 26 two beds and 2 three beds. Out of those units, 20 will be affordable with a mix of 2 studios, 14 one-beds, and 4 two-beds. To satisfy the remaining obligation of 6.2 units, Draper and Kramer will pay a fee in-lieu of $940,000. Inspired by the theater past of the site and vibrant theater community of the area, the front facade is a subtle allusion to a theater curtain, folding the glass wall to create a rippling effect reinforced by the slab edge covers that reference a modern treatment of bay windows. To reduce the mass of the building, the eighth and ninth floors have been setback considerably from the street. After conversations with Alderman Hopkins and neighbors, brick masonry was added to the building’s design and replaced glazing at the ground floor. Vertical ribbons of terracotta rainscreen have been added in a color that will match the brick. At the ground floor, the residential entry will be located at the north end of the frontage, while the 4,500 square feet of retail space will occupy the rest of the frontage and feature a 13-foot setback to allow space for outdoor dining as the retail space is targeted for a restaurant operator. Parking for 34 cars and 131 bikes is located in an enclosed garage on the ground floor accessed from the alley. The development sought a rezoning from B3-2 to B3-5 with an overall Planned Development designation. Alderman Hopkins officially gave his approval of the project after a contentious two years of negotiations and community meetings that resulted in some of the aforementioned design changes as well as a $300,000 investment that will go towards expanding a city park at the corner of North and Larrabee. After the Chicago Plan Commission approved the $53 million development in August, the proposal received approval from the Committee on Zoning and now finally the City Council, allowing for the project to move forward with its full entitlements. A timeline for construction is currently unknown. ",Lincoln Park,1
Dinkel’s Lofts gets revised design at 3327 N. Lincoln,"Developer PCR Group Chicago has revised its design for Dinkel’s Lofts, a mixed-use development at 3327 N. Lincoln. Planned for a V-shaped property, the site fronts both N. Lincoln Ave and N. Marshfield Ave and includes the historic Dinkel’s building and sign. Designed by Jonathan Splitt Architects, the new building will stand six stories, rising almost 80 feet tall. While three of the existing structures will be demolished, the project will retain the famous Dinkel’s Bakery facade and sign, building the new structure behind it. The revised design will retain the facade of the three-story brick building on the south side of the Dinkel’s building.  On the ground floor, the project’s residential lobby will be centered within the N. Lincoln Ave frontage. The retail space on the north side of the lobby has been increased from 2,725 square feet to 3,345 square feet. To the south of the lobby, the previously planned shared office amenity space has been removed and the bike storage room has been pushed further into the floor plate to create another retail space along the street, measuring 1,267 square feet. The parking garage has been reduced in size to now accommodate 15 cars instead of 20. Rising above, the second floor sets back from N. Marshfield Ave, giving select units private roof terraces. The residential component of the project will split the 42 units into 4 studios, 10 one-beds, 21 two-beds, and 7 three-beds, all spread across the second through sixth floors. Residents will have access to a shared roof deck as well as a fitness amenity space on the second floor.  To allow for the development, the developer is seeking to rezone the property from B1-2 to B3-3. According to the developer’s website, the project could have a 2024 delivery.  ",Lakeview,0
DePaul University gets permit to renovate Sullivan Athletic Center,"DePaul University has received permits to renovate the Sullivan Athletic Center and McGrath-Phillips Arena at 2323 N. Sheffield. As part of a larger athletics investment, the school is also looking to build a new practice facility for the school’s basketball teams.  Designed by Antunovich Associates and HNTB, the renovation will infill one of the three basketball courts with two stories of new athletic support space. The first floor of the facility will be dedicated to the health and wellness of all 215+ DePaul student athletes, and will include a team dining space, nutrition bar, new sports medicine treatment spaces and offices, hydrotherapy, a weight room, and multi-purpose meeting rooms. Across the street, the school is planning to clear the site of a series of vintage buildings to build a new basketball practice facility. The new facility would feature a brick façade that mirrors the aesthetic of the Lincoln Park neighborhood, with a pitched roof that pays homage to DePaul's former Lincoln Park arena, Alumni Hall. Floor-to-ceiling glass around the basketball gyms will offer views of the surrounding neighborhood and wider city context. DePaul men’s and women’s basketball will move their training, practices, and operations into the building to allow for more dedicated spaces to support the programs.  With the permits issued for renovation, general contractor Bulley & Andrews can begin work inside the building. Work is set to begin this December, with the first phase being completed in late Summer 2024.  As the project moves forward, the demolition of buildings on the site across the street would not begin until Summer 2025 at the earliest as the proposal is seeking an amendment to the existing Planned Development for the campus. The amendment would need approval from Alderman Timmy Knudsen (43rd), the Chicago Plan Commission, the Committee on Zoning, and the full City Council. Construction of the new facility would begin after demolition is done and is expected to be completed by Fall 2026.  ",Lincoln Park,0
Foundation permit issued at 1723 S. Michigan,"A foundation and partial superstructure permit has been issued for a residential development at 1723 S. Michigan. Planned by Chicago-based CMK Companies, the project has progressed under the radar as it has not requested any zoning change or variances. Zoned DX-5, the extent of the project site isn’t fully clear but will sit across the street from CMK’s 1720 S. Michigan. With Gensler reportedly behind the architecture, the permit reports a 13-story building is set to rise on the property. The development will have 149 apartment units with 98 parking spaces on the first three floors. Retail space and the residential lobby will occupy the front of the ground floor with parking behind. With the foundation and partial superstructure permit issued, general contractor Brandts Build LLC can begin working on the structure for the first through second floor and build the core, concrete stairs and walls to the underside of the sixth floor. A full building permit has been filed and is awaiting issuance. ",South Loop,0
