article_name,content,neighborhood
Equinox signs lease for new location at 919 W. Fulton,"Fulton Street Companies has announced that it has signed Equinox to a 40,000-square-foot lease at its newest building, 919 W. Fulton in Fulton Market, the first fitness club to sign on in the neighborhood.  “Securing this lease in such a competitive environment is a significant win, as we bring the first gym to this rapidly growing neighborhood. With the number of apartments planned and already delivered, and an influx of residents, it's the perfect time to introduce a facility that caters to their fitness needs. We're excited to be part of the transformation and growth in this vibrant community,” said Alex Najem, founder and CEO of Fulton Street Companies.  Located at the corner of W. Fulton Market and N. Sangamon St, 919 W. Fulton is a 375,000-square-foot, 11-story office building currently under construction. Designed by Morris Adjmi Architects and FitzGerald, the amenity rich building will capture the essence of the neighborhood with its factory style storefronts, architectural masonry, and large outdoor terraces on each floor. It will feature modern indoor/outdoor amenities such as state-of-the-art conferencing center, and tenant lounge, as well as ground floor retail.  The building is set to become home to the headquarters of Harrison Street Real Estate Capital, who will occupy 112,000 square feet of space. On the ground floor, Gibsons Restaurant Group will occupy 15,500 square feet of the planned retail space.  Construction of the building is currently underway, and delivery is expected in March 2025. ",Fulton Market
City Council approves mixed-use development at 1200 W. Fulton,"The Chicago City Council has approved a two-tower mixed-use development at 1200 W. Fulton. Planned by Fulton Street Cos. and JDL Development, the project site is bound by W. Fulton St to the south, N. Racine Ave to the east, W. Carroll Ave to the north and adjacent structures to the west.  Designed by Hartshorne Plunkard Architecture, the mixed-use development will include 1,079 residential units in two towers with a large podium that holds 24,000 square feet of ground floor retail space, 1,079 bike parking spaces, 440 car parking spaces, and approximately 90,000 square feet dedicated to a lifestyle fitness tenant.  With a design language intended to create similar yet distinct towers, the 37-story north tower will stand 465 feet holding 521 residential units while the 44-swtory western tower will have 558 residential units.  On the ground floor, the retail space will activate all three frontages as well as the large public open space at the intersection of W. Fulton St and N. Racine Ave. The northern tower will have its residential lobby along W. Carroll Ave while the western tower’s residential lobby will be along W. Fulton St. Two separate bike rooms both on the ground floor will hold the planned 1,079 bike spaces for residents. Parking garage access will be from N. Racine Ave with loading access off of W. Carroll Ave. The entry into the fitness center tenant space will face into the public open space. Within the podium, the planned parking spaces will occupy space on the second and third floors, with 150 spaces planned for the fitness tenant and retail and the remaining 290 designated for tenants. During the community meeting, the developers expressed willingness to create public access to parking if there were unused spaces. Residential units will screen the parking along W. Carroll Ave and N. Racine Ave.  While the name of the fitness operator hasn’t been released, the 90,000 square feet of space it will occupy is located on the fourth, fifth, and sixth floors of the podium. The scheme includes some residential units in the western tower on these floors as well. An outdoor deck will be included for the fitness tenant.  The podium will be topped with a residential amenity deck on the seventh floor with the residential towers rising above. The northern tower’s 521 units will be split into 193 studios, 255 one-beds, and 73 two-beds. The western tower’s 558 units will include a mix of 224 studios, 194 one-beds, and 140 two-beds. The development will meet the 20% affordability requirement with 216 of the rental apartments being set aside as affordable.  To meet sustainability requirements, the development will implement water use reduction, construction waste diversion, will exceed energy code by 5%, provide bike parking, plant trees, install over 50% green roofs, is located in proximity to transit, install EV charging stations, and install CTA digital displays. With approval from the Chicago City Council secured, the site will be rezoned from M2-3 to DX-7 with an overall Planned Development designation. A 4.5 FAR bonus would be added by paying approximately $9.7 million into the Neighborhood Opportunity Fund.  While a specific timeline for construction hasn’t been announced, the development team has split the project in a way that the two towers can be phased. If phasing was implemented, the northern tower and all commercial space in the building would be built first including the fitness tenant and the western tower would be added in a second phase.  ",Fulton Market
Plan Commission approves mixed-use development at 1200 W. Fulton,"The Chicago Plan Commission has approved a two-tower mixed-use development at 1200 W. Fulton. Planned by Fulton Street Cos. and JDL Development, the project site is bound by W. Fulton St to the south, N. Racine Ave to the east, W. Carroll Ave to the north and adjacent structures to the west.  Designed by Hartshorne Plunkard Architecture, the mixed-use development will include 1,079 residential units in two towers with a large podium that holds 24,000 square feet of ground floor retail space, 1,079 bike parking spaces, 440 car parking spaces, and approximately 90,000 square feet dedicated to a lifestyle fitness tenant.  With a design language intended to create similar yet distinct towers, the 37-story north tower will stand 465 feet holding 521 residential units while the 44-swtory western tower will have 558 residential units.  On the ground floor, the retail space will activate all three frontages as well as the large public open space at the intersection of W. Fulton St and N. Racine Ave. The northern tower will have its residential lobby along W. Carroll Ave while the western tower’s residential lobby will be along W. Fulton St. Two separate bike rooms both on the ground floor will hold the planned 1,079 bike spaces for residents. Parking garage access will be from N. Racine Ave with loading access off of W. Carroll Ave. The entry into the fitness center tenant space will face into the public open space. Within the podium, the planned parking spaces will occupy space on the second and third floors, with 150 spaces planned for the fitness tenant and retail and the remaining 290 designated for tenants. During the community meeting, the developers expressed willingness to create public access to parking if there were unused spaces. Residential units will screen the parking along W. Carroll Ave and N. Racine Ave.  While the name of the fitness operator hasn’t been released, the 90,000 square feet of space it will occupy is located on the fourth, fifth, and sixth floors of the podium. The scheme includes some residential units in the western tower on these floors as well. An outdoor deck will be included for the fitness tenant.  The podium will be topped with a residential amenity deck on the seventh floor with the residential towers rising above. The northern tower’s 521 units will be split into 193 studios, 255 one-beds, and 73 two-beds. The western tower’s 558 units will include a mix of 224 studios, 194 one-beds, and 140 two-beds. The development will meet the 20% affordability requirement with 216 of the rental apartments being set aside as affordable.  To meet sustainability requirements, the development will implement water use reduction, construction waste diversion, will exceed energy code by 5%, provide bike parking, plant trees, install over 50% green roofs, is located in proximity to transit, install EV charging stations, and install CTA digital displays. The Chicago Plan Commission approved the rezoning of the site from M2-3 to DX-7 with an overall Planned Development designation. A 4.5 FAR bonus would be added by paying approximately $9.7 million into the Neighborhood Opportunity Fund. The proposal will now go before the Committee on Zoning and City Council to secure final approvals. While a specific timeline for construction hasn’t been announced, the development team has split the project in a way that the two towers can be phased. If phasing was implemented, the northern tower and all commercial space in the building would be built first including the fitness tenant and the western tower would be added in a second phase.  ",Fulton Market
New renderings emerge for 370 N. Morgan,"A set of fresh renderings have been released showing the revised design for the new mixed-use development located at 370 N. Morgan. Planned by Vista Property Group, the development will be the first phase of their three-tower mixed-use development at the intersection of W. Kinzie St and N. Morgan St. The site is bound by W. Kinzie St to the north, N. Morgan St to the east, the Metra tracks to the south, and N. Carpenter St to the west. With Antunovich Associates in charge of the redesigned project, the renderings show the revised massing of the tower that was shortened by cutting the height by three floors and going from 410 feet down to 380 feet in height. The residential tower has been widened to stretch the entire width of the site, accommodating a similar unit count in a shorter massing. The building’s facade has been revised to use a dark metal and glass window wall system with brick wrapping the podium.  With a total count of 493 units, the apartments will be split into 154 efficiency units and 339 dwelling units. The parking count was reduced from 222 to 190 spaces and 80% of them will be electric-vehicle ready. On the ground floor, the residential lobby will face N. Morgan St with a metal canopy reaching out into the new landscaped plaza that occupies the corner and overlooks the intersection. Retail space will occupy the rest of the street frontage between the residential entry and the Metra tracks. Management and leasing offices will be located along Kinzie behind the lobby and a bike room with 494 spaces will occupy the rest of the Kinzie St frontage. Loading and parking access will be from N. Carpenter St.  With a demolition permit issued, work has already begun to clear the former Fox Deluxe building at 370 N. Morgan to make way for a new mixed-use development. With Skender Construction set to be the general contractor, new construction permits have been filed and are awaiting issuance. The developer is quoting a Q1 2025 start for construction.  ",Fulton Market
Demo permit issued to make way for 370 N. Morgan,"A demolition permit has been issued for the former Fox Deluxe building at 370 N. Morgan to make way for a new mixed-use development. Planned by Vista Property Group, the development will be the first phase of their three-tower mixed-use development at the intersection of W. Kinzie St and N. Morgan St. The site is bound by W. Kinzie St to the north, N. Morgan St to the east, the Metra tracks to the south, and N. Carpenter St to the west. With Antunovich Associates recently replacing Gensler as the architect, the 370 N. Morgan tower has undergone some slight modifications to its program and massing. With a split of 154 efficiency units and 339 dwelling units, the unit count has been increased by three from 492 to 495, while the parking count has been reduced from 222 to 190. 80% of the parking spaces will be electric-vehicle ready instead of 100%. The massing of the tower has been shortened by cutting the height by three floors and going from 410 feet down to 380 feet in height. While the podium has largely remained the same, the residential tower has been widened to stretch the entire width of the site, accommodating the similar unit count in a shorter massing. The building’s facade has been revised to use dark metal paneling and slab edge covers and the podium will use acid etched glass instead of fritted glass with perforated metal paneling around the parking floors. On the ground floor, the residential lobby will remain overlooking the intersection of Kinzie and Morgan, with a retail space occupying the rest of the N. Morgan St frontage. A new landscaped plaza will front both spaces overlooking the intersection. In lieu of more retail space along W. Kinzie St, the revised plan will locate management and leasing offices along Kinzie behind the lobby and a bike room with 494 spaces will occupy the rest of the Kinzie St frontage. Loading and parking access will remain from N. Carpenter St.  With the demolition permit issued, demolition contractor Heneghan Wrecking & Excavating can clear the property to make way for the new development. Permit filings show Skender Construction will be the general contractor for the new construction. ",Fulton Market
City Council approves two-tower development at 170 N. May and 175 N. Racine,"The Chicago City Council has approved LG Group’s revised plans for a two-tower mixed-use development at 170 N. May and 175 N. Racine. The former Amylu Foods project site is an L-shaped parcel bound by W. Lake St, N. May St, W. Randolph St, and N. Racine Ave, with two buildings at the corner of W. Randolph St and N. Racine Ave not included in this parcel.  Originally approved back in 2021, the previous design by Gensler, called for one 29-story tower that would have risen 330 feet tall. Holding 486 apartments, the building would have held retail space on the ground floor and 261 parking spaces.  With bKL Architecture on board for the new version, the site will become home to two residential towers. Rising along N. May St, the first phase tower at 170 N. May would be the shorter of the two, standing 25 stories tall reaching 315 feet in height. The smaller building would have 287 dwelling units, 252 parking spaces, and 287 bike parking spaces.  The second phase of the project would see the construction of a 38-story tower reaching 450 feet in height at 175 N. Racine. Rising at the corner of W. Lake St and N. Racine Ave, the building would have 380 residential units, 257 parking spaces, and 380 bike parking spaces. The overall development will satisfy the ARO requirements by providing 133 affordable units across the two buildings. On the ground floor, the residential entry for Phase 1 would be midblock on N. May St with some retail space at the corner of W. Lake St and N. May St. A large retail space would occupy all the ground floor south of the midblock alley towards the corner of W. Randolph St and N. May St. Phase 2 would have its residential lobby along N. Racine Ave, with retail space at the corner of W. Lake St and N. Racine Ave. The bike room would be located along W. Lake St, with loading and parking access for both buildings from the midblock alley connection.  The design sculpts the buildings with staggered setbacks that step back from W. Randolph St to push the density up toward W. Lake St while still keeping setbacks from the noise of the L tracks. The very long podium facade along N. May St is broken down with a brick design for the grocer and portion down to W. Randolph St, with the tower facade coming down to the ground midblock to the residential entry. The northern portion uses a metal facade on the podium instead of brick to reference the industrial qualities seen in the metal L track structures. With Confluence serving as the landscape architect, the design will reclaim some of the angled parking along W. Randolph St for more space for plantings as well as an opportunity for outdoor seating. Curb bump outs will be added along W. Randolph St and W. Lake St. Seating elements with planters will be included along the L tracks.  With approvals secured, the site’s existing Planned Development will be amended to allow for the revised $300 million development. With a grocer interested in the space, LG Group intends to start Phase 1 as soon as Spring 2025 and will build the second phase after the first building is completed.  ",Fulton Market
Permits filed for revised plan at 370 N. Morgan,"Developer Vista Property Group has received approval for adjustments to the first phase of their three-tower mixed-use development at the intersection of W. Kinzie St and N. Morgan St. Addressed at 370 N. Morgan, the first phase will replace the Fox Deluxe building on a site bound by W. Kinzie St to the north, N. Morgan St to the east, the Metra tracks to the south, and N. Carpenter St to the west. With Antunovich Associates replacing Gensler as the architects, the 370 N. Morgan tower will get some slight modifications to its program and massing. With a split of 154 efficiency units and 339 dwelling units, the unit count has been increased by three from 492 to 495, while the parking count has been reduced from 222 to 190. 80% of the parking spaces will be electric-vehicle ready instead of 100%. The massing of the tower has been shortened by cutting the height by three floors and going from 410 feet down to 380 feet in height. While the podium has largely remained the same, the residential tower has been widened to stretch the entire width of the site, accommodating the similar unit count in a shorter massing. The building’s facade has been revised to use dark metal paneling and slab edge covers and the podium will use acid etched glass instead of fritted glass with perforated metal paneling around the parking floors. On the ground floor, the residential lobby will remain overlooking the intersection of Kinzie and Morgan, with a retail space occupying the rest of the N. Morgan St frontage. A new landscaped plaza will front both spaces overlooking the intersection. In lieu of more retail space along W. Kinzie St, the revised plan will locate management and leasing offices along Kinzie behind the lobby and a bike room with 494 spaces will occupy the rest of the Kinzie St frontage. Loading and parking access will remain from N. Carpenter St.  With the minor change approval secured from DPD, permits have been filed to get construction started on this first phase. Permit filings show Skender Construction will be the general contractor for the project. ",Fulton Market
Landmarks approves demo to make way for rehab at 900 W. Fulton,"The Commission on Chicago Landmarks has approved the demolition of the existing structure at 906 W. Fulton as part of a mixed-use rehab planned. Proposed by Midwest Property Group LTD, the project site is located at the northwest corner of the intersection of W. Fulton Market and N. Peoria St. Designed by NORR, the project would rehabilitate, demolish, and rebuild three structures as part one combined development. The four-story contributing structure at 900 W. Fulton on the corner will be rehabbed and renovated, with a new retail storefront and a residential entry along N. Peoria St.  The one and two-story structure at 906 W. Fulton will be demolished and replaced by a five-story mixed-use structure. The building’s design has a four-story brick facade along the street wall with a fifth floor addition setback 10 feet from the street and clad in metal paneling.  The third portion of the project is the contributing building at 910 W. Fulton. As part of the development, the front facade will be restored while the structure behind will be demolished due to its deteriorated condition. The new reconstruction behind will fill out the first two floors with the third-floor setback 15 feet from the street above the historic facade. With approval secured from both the Permit Review Committee and Commission on Chicago Landmarks, the project can move forward with getting the demolition permit issued. A timeline for the project is currently unknown and no permits have been filed.  ",Fulton Market
Sterling Bay and Wheelock Street Capital Sell Hyatt House-Fulton Market,"Sterling Bay and Wheelock Street Capital have announced the sale of Hyatt House-Fulton Market to Ohio-based Rockbridge Capital. Located at 105 N. May in the Fulton Market neighborhood, the 200-key, extended-stay hotel includes 5,224 square-feet of retail space on the ground floor, which is now fully leased to popular breakfast restaurant The Original Pancake House. “Hyatt House was an exciting and important development for Fulton Market, and we are pleased to see the property fully leased before the sale,” said Andy Gloor, CEO of Sterling Bay. “Our ability, in close partnership with Wheelock, to successfully take such a project from construction to financing, leasing and sale is a testament to our team’s incredible track record in commercial property development.”  This sale is the latest activity in a series of Fulton Market listings for the firm, which has identified the properties as opportunities to further their vision for development in Chicago.  The Original Pancake House will operate its sixth Chicagoland location—and first in Fulton Market—in the ground floor retail space at Hyatt House, bringing an accessible, family-friendly breakfast option to Fulton Market’s bustling dining scene. The restaurant plans to open in late spring or early summer 2025.  Since Sterling Bay and Wheelock delivered Hyatt House in 2019, the 200-key property has been the only extended-stay and Hyatt-branded hotel in the neighborhood. Designed by Eckenhoff Saunders Architects, the hotel has welcomed thousands of guests looking to take advantage of Fulton Market’s range of business, dining and entertainment offerings. Hyatt House builds on the neighborhood’s live-work-play environment with its own amenities, including an indoor rooftop pool, sky deck with expansive city views, fitness center, and full-service lobby bar. ",Fulton Market
City Council approves mixed-use development at 345 N. Aberdeen,"The Chicago City Council has approved Sterling Bay’s plan for a mixed-use development at 345 N. Aberdeen. Currently occupied by a one-story industrial building, the project site is a full-block lot bound by N. Carpenter St to the east, W. Carroll Ave to the south, N. Aberdeen St to the west, and the Metra tracks to the north.  Designed by Gensler, the new development will stand 473 feet tall over 44 floors, with 559 residential units, 20% or 112 of which will be set aside as affordable at an average of 60% AMI. The building will also provide 255 parking spaces and 559 bike parking spaces. On the ground floor, the residential lobby will occupy the southeastern corner of the building, facing the corner of W. Carroll Ave and N. Carpenter St. The building’s 10,000 square feet of retail space will face the corner of W. Carroll Ave and N. Aberdeen St. Mechanical space will stretch along the north side of the ground floor along the tracks, with loading fronting N. Carpenter St and the parking access from N. Aberdeen St.  After studying a few iterations of the building's massing, the north/south oriented bar building was selected. The building was shifted to the east to open up some public space along the western side of the property and the tower’s massing was evolved to create a more vertical expression and break up the length of the facade. Along W. Carroll Ave, the tower expression reaches down to the ground to announce the residential entry. Topping out at 473 feet tall, the building’s facade will be made up of a metal and glass window wall on the tower and a brick expression on the podium.  With the zoning change approved, the property will be rezoned from M2-3 to DX-7 with a Planned Development designation. A 4.5 FAR bonus would also be secured by paying approximately $5 million into the Neighborhood Opportunity Fund. At the same time, Sterling Bay is looking to sell the property. During the previous community meeting, a representative from the development team commented that all options are on the table for developing the site and they would be open to a joint venture or collaboration to facilitate the development. ",Fulton Market
